200 91.72
224	105.13
256	119.15
284	131.65
348	162.13
448	209.32
540	252.66
588	275.22
520	242.10
488	227.56
436	205.25
364	170.27
332	155.01
272	127.25
252	118.04
220	103.11
352	91.59
380	98.36
400	104.89
424	110.74
456	119.93
492	128.69
524	137.42
580	156.48
552	145.70
508	133.31
468	122.98
436	115.20
420	110.60
396	103.92
376	98.48
344	90.73
468	88.10
484	91.04
504	94.69
524	98.37
540	101.58
556	104.35
576	108.31
596	112.30
580	108.92
564	106.02
544	102.20
532	100.07
520	98.11
508	95.31
492	92.77
472	88.57
